graph,v,e,chrom,art,tabu
le450\_15b,450,8169,15,16,18
le450\_25a,450,8260,25,25,26
le450\_25b,450,8263,25,25,26
le450\_25c,450,17343,25,28,30
le450\_5c,450,9803,5,5,5
le450\_5d,450,9757,5,6,5
